,Ref,Address,Description,DecDate,Link,RefusalReasons,DevType,docfragment,file_ext,filename,Decision,FromSearch,ToSearch,AppTypeFrag,Dev_Type
0,PA19/08993,Land South West Of Badgall Cottages Badgall Road Laneast Launceston Cornwall,Self Build Single Storey Dwelling,2019-10-31,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PZCQ3LFGIIP00&activeTab=summary,"The application  site is located  outside of the established and definable limits of any settlement, and does not represent infill or rounding off as defined in policy 3 of the Cornwall Local Plan Strategic Policies  2010 - 2030. The proposal  would  represent a residential unit of accommodation in the countryside where no special justification  has been satisfactorily demonstrated. As a consequence the proposed development is considered to represent undesirable, unsustainable, sporadic  residential development which is beyond any defined development limit eroding the character and appearance of this part of the Area of Great Landscape Value. The development is therefore contrary to policy 3, 7 and 23 of The Cornwall Local Plan and paragraph  79 and Section 15 of the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA19_08993-R1FULZ_-_REFUSAL_NOTICE-4781836.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
1,PA19/08982,Malibu Cottage Widemouth Bay Bude Cornwall EX23 0AG,Proposed replacement dwelling with variation of condition 2 in respect of decision PA19/03272 dated 11.09.19,2019-10-22,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PZ7TO0FGFM600&activeTab=summary," 1 The proposed amendments to the approved development by reason  of the increased scale, height  and mass of the dwelling would significantly increase the visual prominence of the dwelling within a sensitive  exposed location, with a high level of public  experience and as such the dominant visual appearance would  be detrimental to the landscape character and visual  amenity of the Area of Great Landscape Value  and to users of the beach, South West Coast Path and footpath. This is therefore contrary to Policy 2, 12 and 23 of The Cornwall Local Plan Strategic Policies 2010-2030 and paragraph 127 and 170 of the National Planning Policy Framework 2019.           ",,REFUSAL,pdf,PA19_08982-R1SECZ_-_REFUSAL_NOTICE-4764998.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
2,PA19/09063,The Granary Ruan Minor Helston Cornwall TR12 7NA,Outline planning permission with all matters reserved. Detached single dwelling and garage,2019-10-11,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PZF3LMFG1W400&activeTab=summary,"The proposed development raises direct conflict with the requirements  of adopted policy  in the Cornwall Local Plan as the site is clearly  located in the open countryside where new homes will only be permitted  where there are special circumstances, none of which have been identified in this particular  case.  The proposed development would clearly  erode  the rural character of this location by introducing further built development  that would  result in material harm to the character and appearance of the countryside, thus not conserving  the landscape  character and natural  beauty of the Area of Outstanding  Natural  Beauty (AONB) in this location.  The site is not a sustainable  or accessible location for a new dwelling and the development  would therefore  be contrary to development plan policy and cause material  environmental harm  to the rural character  of the area, contrary to policies 1, 2, 3, 7, 12, 23 and 27 in the Cornwall Local Plan Strategic Policies 2010 - 2030 and paragraphs 79, 108, 110, 170 and 172 in the National Planning Policy Framework 2019.",,REFUSAL,pdf,PA19_09063-R1OUTZ_-_REFUSAL_NOTICE-4754357.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
3,PA19/08883,1 Tregunnick Lane Seaton Torpoint Cornwall PL11 3JT,Erection of domestic garage with associated works.,2019-10-21,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PZ40S7FG1FE00&activeTab=summary,"The site forms  part of a cohesive,  high quality, residential development,  set back from the road frontage with open front amenity areas. The proposed development by reason of its siting would visually compete with the host dwelling  and introduce an inappropriate and overly dominant feature within the street scene, harming the visual amenity of the immediate surroundings. As such,  the proposal  is contrary to Policy 12 of the Cornwall Local Plan 2010-2030, adopted November 2016, together with the provisions of the National Planning Policy Framework 2019, with particular  reference to Paragraph 127.",,REFUSAL,pdf,PA19_08883-R1FULZ_-_REFUSAL_NOTICE-4769741.pdf,Refusal one reason,2019-01-01,2019-12-31,,Householder
4,PA19/08792,Land At Goonearl Goonearl Scorrier TR16 5EB,Outline application with some matters reserved for construction of two dwellings to round-off the residential developments of Goonearl,2019-10-29,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PZ0GL2FGIE800&activeTab=summary,"The proposal for two dwellings outside any settlement  and without any special justification results in an unsustainable form of development in the countryside.  The accessibility of the location in accessing modes  of transport other  than the private car is poor which will result in reliance on private  cars for the majority of trips reinforcing the unsustainable  location of the development.  The proposal  is therefore contrary  to Cornwall Local Plan 2010-2030  policies 1, 3, 7 and 27, St Agnes Neighbourhood  Development  Plan policies 1 and 2 and the aims at paragraphs 8 and 79 of the National Planning Policy Framework.",,REFUSAL,pdf,PA19_08792-R1OUTZ_-_REFUSAL_NOTICE-4764530.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
5,PA19/08519,Lowena Road From Junction At Greenbank To Belfry Memorial Feock TR3 6RG,Demolition of existing dwelling and reconstruction of new dwelling with removal of condition 9 of decision C1/8901797H dated 14/02/1990,2019-10-10,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PYHV61FGM2T00&activeTab=summary, 1 The proposal to remove the parking restriction  under Condition 9 of decision C1/8901797H does not provide  a suitable alternative off road parking  provision for the cottage currently known as Blue Cottage and would  be contrary  to Policies  13 and 27 of the Cornwall  Local Plan Strategic Policies 2010 - 2030 and paragraphs 11 and 127 (a)of the National  Planning Policy Framework 2019.  It is considered that the parking  condition  is still necessary and accords  with the tests for conditions as set out in paragraph  55 of the National  Planning Policy Framework 2019.,,REFUSAL,pdf,PA19_08519-R1SECZ_-_REFUSAL_NOTICE-4751308.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
6,PA19/08088,Arwenack Hotel 27 Arwenack Street Falmouth TR11 3JE,Change of use from apartment (Use Class C3) and 12 bedroom hotel (Use Class C1) to large house in multiple occupation (Sui Generis) comprising of 5 flats,2019-10-07,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PXS3E2FGLY600&activeTab=summary,"The proposed change of use from an apartment and 12 bedroom hotel to a large House  in Multiple Occupation (HMO) fails to promote housing to accommodate the needs of different groups  in the community,  including  families, to the detriment of a sustainable, inclusive and mixed community.  For this reason the application is contrary to Policy HM01 of the emerging  Falmouth Neighbourhood Development Plan 2019 to 2030 (Submission Version July 2019),  Policy 1 of the Cornwall  Local Plan Strategic  Policies 2010-2030, and paragraphs 7 and 8 of the National  Planning Policy Framework 2019.",,REFUSAL,pdf,PA19_08088-R1FULZ_-_REFUSAL_NOTICE-4749736.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
7,PA19/08103,15 Prosper Hill Gwithian Hayle Cornwall TR27 5BW,Conversion of traditional stone barns to three dwellings with variation of condition 2 in relation to decision notice PA16/02770,2019-10-21,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PXWUX7FG1ST00&activeTab=summary," 1 The proposed re-development, by virtue of its scale,  form and uncharacteristic domestic appearance, would constitute a discordant element in the landscape that is unsympathetic to the character  of the existing  historic barns, it would fail to promote local distinctiveness and would have an adverse impact on the barns which would fail to enhance their immediate setting.  The proposal as such raises conflict with policies 2, 7, 12 and 24 of the Cornwall Local Plan Strategic  Policies (2010-2030), with policy GGP9 of the Gwinear-Gwithian Neighbourhood Plan (2016-2030) and with paragraphs  127 and 184 of the National Planning Policy  Framework (2019).",,REFUSAL,pdf,PA19_08103-R1SECZ_-_REFUSAL_NOTICE-4769149.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
8,PA19/08164,Land South Of Home Farm Plantation Troon Cornwall TR14 9JW,Prior approval for the erection of a general purpose agricultural building for the storage of hay.,2019-09-11,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PXZB9SFG1W400&activeTab=summary,"With a proposed footprint  of 30m by 12m, and a ground to ridge height of 5.2m, the size of the building  is considered excessively large in this location.  Given  the large scale of the proposed agricultural building  together  with its siting which is in an elevated position within  the landscape and immediately adjoins a public right of way, the development  proposal  would dominate its setting and fail to conserve  the strong and distinctive characterics  of this sensitive and open landscape. As the area is designated as an Area of Great Landscape Value, where the primary objective  is to conserve and enhance the landscape, the identified harm is intensified. The proposed building due to its siting, scale and external appearance  would have a harmful impact on the landscape and is therefore considered to be in conflict  with policies 1, 2, 12 and 23 of the Cornwall Local Plan Strategic  Policies 2010 - 2030 and paragraphs 8, 127 and 170 of the National Planning Policy Framework 2019",,REFUSAL,pdf,PA19_08164-R1AF2Z_-_REFUSAL_OF_AGRI_FORESTRY_DEV-4640862.pdf,Refusal one reason,2019-01-01,2019-12-31,,Prior Approval - AF2 type
9,PA19/07998,Land West Of Canfield Week St Mary Holsworthy Cornwall,Outline application for the erection of a dwelling with all matters except access reserved,2019-09-11,https://planning.cornwall.gov.uk/online-applications/applicationDetails.do?keyVal=PXO8GBFGJEY00&activeTab=summary,"The proposed dwelling,  by reason of its location outside of and behind  the clearly defined urban form of the settlement,  the intrinsic, open rural character  and appearance  of the site and with limited physical  barriers (other than hedgerows  and hedgebanks repeated beyond  this site) to its north  and west, does not round off or infill the settlement. It visually  extends the built form into the countryside eroding the character  and appearance of this part of the Area of Great Landscape Value. In the absence of any special circumstances  to justify  it, the proposal represents an unsustainable  and sporadic form of development in the countryside and, in the absence  of any other material considerations which outweigh such harm, the proposal is contrary  to Policies 1, 3, 7, 9, 21, 23 and ENV1 of the Cornwall Local Plan Strategic Policies  2010 - 2030 (November  2016) and paragraphs 79 and 170 of the National  Planning Policy  Framework  2019.",,REFUSAL,pdf,PA19_07998-R1OUTZ_-_REFUSAL_NOTICE-4710600.pdf,Refusal one reason,2019-01-01,2019-12-31,,Minor - Dwelling
