,index,Ref,Description,DecDate,RefusalReasons,Dev_Type,NDPs Referenced,CLPs Referenced,Perms Referenced,AONB Referenced,cleaned,checking col,Countryside & Character,Neighbours and amenties,Design / Character,Natural Environment,"AONB, Landscape & Appearance",Access,Space and amenities,Flooding and Drainage,Conservation & harm to Listed Buildings,Noise & Disturbance,Heritage and History,Affordable Housing
0,0,PA19/08993,Self Build Single Storey Dwelling,31/10/2019,"The application  site is located  outside of the established and definable limits of any settlement, and does not represent infill or rounding off as defined in policy 3 of the Cornwall Local Plan Strategic Policies  2010 - 2030. The proposal  would  represent a residential unit of accommodation in the countryside where no special justification  has been satisfactorily demonstrated. As a consequence the proposed development is considered to represent undesirable, unsustainable, sporadic  residential development which is beyond any defined development limit eroding the character and appearance of this part of the Area of Great Landscape Value. The development is therefore contrary to policy 3, 7 and 23 of The Cornwall Local Plan and paragraph  79 and Section 15 of the National Planning Policy Framework 2019.",Minor - Dwelling,,"Cornwall Local Plan Strategic Policies,Cornwall Local Plan",,,"['locate', 'outside', 'establish', 'definable', 'limit', 'infill', 'round', 'define', 'residential', 'unit', 'accommodation', 'countryside', 'satisily', 'consequence', 'undesirable', 'unsustainable', 'sporadic', 'residential', 'define', 'limit', 'erode', 'character', 'appearance', 'great', 'landscape', 'value']","['locate', 'outside', 'establish', 'definable', 'limit', 'infill', 'round', 'define', 'residential', 'unit', 'accommodation', 'countryside', 'satisily', 'consequence', 'undesirable', 'unsustainable', 'sporadic', 'residential', 'define', 'limit', 'erode', 'character', 'appearance', 'great', 'landscape', 'value']",0.3467707931995392,,,,,,,,,,,
1,1,PA19/08982,Proposed replacement dwelling with variation of condition 2 in respect of decision PA19/03272 dated 11.09.19,22/10/2019," 1 The proposed amendments to the approved development by reason  of the increased scale, height  and mass of the dwelling would significantly increase the visual prominence of the dwelling within a sensitive  exposed location, with a high level of public  experience and as such the dominant visual appearance would  be detrimental to the landscape character and visual  amenity of the Area of Great Landscape Value  and to users of the beach, South West Coast Path and footpath. This is therefore contrary to Policy 2, 12 and 23 of The Cornwall Local Plan Strategic Policies 2010-2030 and paragraph 127 and 170 of the National Planning Policy Framework 2019.           ",Minor - Dwelling,,Cornwall Local Plan Strategic Policies,,,"['amendments', 'approve', 'increase', 'scale', 'height', 'mass', 'significantly', 'increase', 'visual', 'prominence', 'senive', 'expose', 'location', 'high', 'level', 'public', 'experience', 'dominant', 'visual', 'appearance', 'detrimental', 'landscape', 'character', 'visual', 'amenity', 'great', 'landscape', 'value', 'users', 'beach', 'south', 'west', 'coast', 'path', 'footpath']","['amendments', 'approve', 'increase', 'scale', 'height', 'mass', 'significantly', 'increase', 'visual', 'prominence', 'senive', 'expose', 'location', 'high', 'level', 'public', 'experience', 'dominant', 'visual', 'appearance', 'detrimental', 'landscape', 'character', 'visual', 'amenity', 'great', 'landscape', 'value', 'users', 'beach', 'south', 'west', 'coast', 'path', 'footpath']",0.19571590423583984,0.1702718585729599,0.48010480403900146,0.13168197870254517,,,,,,,,
2,2,PA19/09063,Outline planning permission with all matters reserved. Detached single dwelling and garage,11/10/2019,"The proposed development raises direct conflict with the requirements  of adopted policy  in the Cornwall Local Plan as the site is clearly  located in the open countryside where new homes will only be permitted  where there are special circumstances, none of which have been identified in this particular  case.  The proposed development would clearly  erode  the rural character of this location by introducing further built development  that would  result in material harm to the character and appearance of the countryside, thus not conserving  the landscape  character and natural  beauty of the AONB AONB in this location.  The site is not a sustainable  or accessible location for a new dwelling and the development  would therefore  be contrary to development plan policy and cause material  environmental harm  to the rural character  of the area, contrary to policies 1, 2, 3, 7, 12, 23 and 27 in the Cornwall Local Plan Strategic Policies 2010 - 2030 and paragraphs 79, 108, 110, 170 and 172 in the National Planning Policy Framework 2019.",Minor - Dwelling,,"Cornwall Local Plan Strategic Policies,Cornwall Local Plan",,AONB,"['direct', 'requirements', 'clearly', 'locate', 'open', 'countryside', 'home', 'special', 'identify', 'particular', 'case', 'clearly', 'erode', 'rural', 'character', 'location', 'introduce', 'material', 'harm', 'character', 'appearance', 'countryside', 'conserve', 'landscape', 'character', 'natural', 'beauty', 'aonb', 'aonb', 'location', 'sustainable', 'accessible', 'location', 'cause', 'material', 'environmental', 'harm', 'rural', 'character']","['direct', 'requirements', 'clearly', 'locate', 'open', 'countryside', 'home', 'special', 'identify', 'particular', 'case', 'clearly', 'erode', 'rural', 'character', 'location', 'introduce', 'material', 'harm', 'character', 'appearance', 'countryside', 'conserve', 'landscape', 'character', 'natural', 'beauty', 'aonb', 'aonb', 'location', 'sustainable', 'accessible', 'location', 'cause', 'material', 'environmental', 'harm', 'rural', 'character']",0.5929030776023865,,,,0.12225385010242462,,,,,,,
3,3,PA19/08883,Erection of domestic garage with associated works.,21/10/2019,"The site forms  part of a cohesive,  high quality, residential development,  set back from the road frontage with open front amenity areas. The proposed development by reason of its siting would visually compete with the host dwelling  and introduce an inappropriate and overly dominant feature within the street scene, harming the visual amenity of the immediate surroundings. As such,  the proposal  is contrary to Policy 12 of the Cornwall Local Plan 2010-2030, adopted November 2016, together with the provisions of the National Planning Policy Framework 2019, with particular  reference to Paragraph 127.",Householder,,Cornwall Local Plan,,,"['cohesive', 'high', 'quality', 'residential', 'road', 'frontage', 'open', 'amenity', 'visually', 'compete', 'host', 'introduce', 'inappropriate', 'overly', 'dominant', 'feature', 'scene', 'harm', 'visual', 'amenity', 'immediate', 'surround', 'provision', 'particular', 'reference']","['cohesive', 'high', 'quality', 'residential', 'road', 'frontage', 'open', 'amenity', 'visually', 'compete', 'host', 'introduce', 'inappropriate', 'overly', 'dominant', 'feature', 'scene', 'harm', 'visual', 'amenity', 'immediate', 'surround', 'provision', 'particular', 'reference']",,,0.665239691734314,,,,,,,,,
4,4,PA19/08792,Outline application with some matters reserved for construction of two dwellings to round-off the residential developments of Goonearl,29/10/2019,"The proposal for two dwellings outside any settlement  and without any special justification results in an unsustainable form of development in the countryside.  The accessibility of the location in accessing modes  of transport other  than the private car is poor which will result in reliance on private  cars for the majority of trips reinforcing the unsustainable  location of the development.  The proposal  is therefore contrary  to Cornwall Local Plan 2010-2030  policies 1, 3, 7 and 27, St Agnes Neighbourhood  Development  Plan policies 1 and 2 and the aims at paragraphs 8 and 79 of the National Planning Policy Framework.",Minor - Dwelling,St Agnes Neighbourhood  Development  Plan,Cornwall Local Plan,,,"['outside', 'unsustainable', 'countryside', 'accessibility', 'location', 'access', 'modes', 'transport', 'private', 'poor', 'reliance', 'private', 'cars', 'majority', 'trip', 'reinforce', 'unsustainable', 'location']","['outside', 'unsustainable', 'countryside', 'accessibility', 'location', 'access', 'modes', 'transport', 'private', 'poor', 'reliance', 'private', 'cars', 'majority', 'trip', 'reinforce', 'unsustainable', 'location']",0.7391894459724426,,,,,0.15655773878097534,0.05949978902935982,,,,,
5,5,PA19/08519,Demolition of existing dwelling and reconstruction of new dwelling with removal of condition 9 of decision C1/8901797H dated 14/02/1990,10/10/2019, 1 The proposal to remove the parking restriction  under Condition 9 of decision C1/8901797H does not provide  a suitable alternative off road parking  provision for the cottage currently known as Blue Cottage and would  be contrary  to Policies  13 and 27 of the Cornwall  Local Plan Strategic Policies 2010 - 2030 and paragraphs 11 and 127 (a)of the National  Planning Policy Framework 2019.  It is considered that the parking  condition  is still necessary and accords  with the tests for conditions as set out in paragraph  55 of the National  Planning Policy Framework 2019.,Minor - Dwelling,,,,,"['remove', 'park', 'restriction', 'decision', 'suitable', 'alternative', 'road', 'park', 'provision', 'cottage', 'currently', 'know', 'blue', 'cottage', 'strategic', 'frame', 'park', 'necessary', 'accord', 'test', 'frame']","['remove', 'park', 'restriction', 'decision', 'suitable', 'alternative', 'road', 'park', 'provision', 'cottage', 'currently', 'know', 'blue', 'cottage', 'strategic', 'frame', 'park', 'necessary', 'accord', 'test', 'frame']",,,,,,0.826638400554657,,,,,,
6,6,PA19/08088,Change of use from apartment (Use Class C3) and 12 bedroom hotel (Use Class C1) to large house in multiple occupation (Sui Generis) comprising of 5 flats,07/10/2019,"The proposed change of use from an apartment and 12 bedroom hotel to a large House  in Multiple Occupation (HMO) fails to promote housing to accommodate the needs of different groups  in the community,  including  families, to the detriment of a sustainable, inclusive and mixed community.  For this reason the application is contrary to Policy HM01 of the emerging  Falmouth Neighbourhood Development Plan 2019 to 2030 (Submission Version July 2019),  Policy 1 of the Cornwall  Local Plan Strategic  Policies 2010-2030, and paragraphs 7 and 8 of the National  Planning Policy Framework 2019.",Minor - Dwelling,Falmouth Neighbourhood Development Plan 2019 to 2030,,,,"['change', 'apartment', 'bedroom', 'hotel', 'large', 'multiple', 'occupation', 'fail', 'promote', 'accommodate', 'need', 'different', 'group', 'community', 'include', 'families', 'detriment', 'sustainable', 'inclusive', 'mix', 'community', 'emerge', 'submission', 'version', 'strategic', 'frame']","['change', 'apartment', 'bedroom', 'hotel', 'large', 'multiple', 'occupation', 'fail', 'promote', 'accommodate', 'need', 'different', 'group', 'community', 'include', 'families', 'detriment', 'sustainable', 'inclusive', 'mix', 'community', 'emerge', 'submission', 'version', 'strategic', 'frame']",0.1301129162311554,,,0.07605729252099991,,0.13103750348091125,,0.2549842298030853,,,,
7,7,PA19/08103,Conversion of traditional stone barns to three dwellings with variation of condition 2 in relation to decision notice PA16/02770,21/10/2019," 1 The proposed re-development, by virtue of its scale,  form and uncharacteristic domestic appearance, would constitute a discordant element in the landscape that is unsympathetic to the character  of the existing  historic barns, it would fail to promote local distinctiveness and would have an adverse impact on the barns which would fail to enhance their immediate setting.  The proposal as such raises conflict with policies 2, 7, 12 and 24 of the Cornwall Local Plan Strategic  Policies (2010-2030), with policy GGP9 of the Gwinear-Gwithian Neighbourhood Plan (2016-2030) and with paragraphs  127 and 184 of the National Planning Policy  Framework (2019).",Minor - Dwelling,Gwithian Neighbourhood Plan (2016-2030),Cornwall Local Plan,,,"['virtue', 'scale', 'domestic', 'appearance', 'discordant', 'element', 'landscape', 'unsympathetic', 'character', 'exist', 'historic', 'barns', 'fail', 'promote', 'distinctiveness', 'adverse', 'barns', 'fail', 'enhance', 'immediate', 'set', 'strategic', 'gwinear', 'frame']","['virtue', 'scale', 'domestic', 'appearance', 'discordant', 'element', 'landscape', 'unsympathetic', 'character', 'exist', 'historic', 'barns', 'fail', 'promote', 'distinctiveness', 'adverse', 'barns', 'fail', 'enhance', 'immediate', 'set', 'strategic', 'gwinear', 'frame']",,,0.561316728591919,,0.180649533867836,,,,0.22403088212013245,,,
8,8,PA19/08164,Prior approval for the erection of a general purpose agricultural building for the storage of hay.,11/09/2019,"With a proposed footprint  of 30m by 12m, and a ground to ridge height of 5.2m, the size of the building  is considered excessively large in this location.  Given  the large scale of the proposed agricultural building  together  with its siting which is in an elevated position within  the landscape and immediately adjoins a public right of way, the development  proposal  would dominate its setting and fail to conserve  the strong and distinctive characterics  of this sensitive and open landscape. As the area is designated as an Area of Great Landscape Value, where the primary objective  is to conserve and enhance the landscape, the identified harm is intensified. The proposed building due to its siting, scale and external appearance  would have a harmful impact on the landscape and is therefore considered to be in conflict  with policies 1, 2, 12 and 23 of the Cornwall Local Plan Strategic  Policies 2010 - 2030 and paragraphs 8, 127 and 170 of the National Planning Policy Framework 2019",Prior Approval - AF2 type,,Cornwall Local Plan,,,"['footprint', 'grind', 'ridge', 'height', 'size', 'excessively', 'large', 'location', 'give', 'large', 'scale', 'agricultural', 'elevate', 'poion', 'landscape', 'immediately', 'adjoin', 'public', 'right', 'dominate', 'set', 'fail', 'conserve', 'strong', 'distinctive', 'characterics', 'senive', 'open', 'landscape', 'designate', 'great', 'landscape', 'value', 'primary', 'objective', 'conserve', 'enhance', 'landscape', 'identify', 'harm', 'intensify', 'scale', 'external', 'appearance', 'harmful', 'landscape', 'strategic']","['footprint', 'grind', 'ridge', 'height', 'size', 'excessively', 'large', 'location', 'give', 'large', 'scale', 'agricultural', 'elevate', 'poion', 'landscape', 'immediately', 'adjoin', 'public', 'right', 'dominate', 'set', 'fail', 'conserve', 'strong', 'distinctive', 'characterics', 'senive', 'open', 'landscape', 'designate', 'great', 'landscape', 'value', 'primary', 'objective', 'conserve', 'enhance', 'landscape', 'identify', 'harm', 'intensify', 'scale', 'external', 'appearance', 'harmful', 'landscape', 'strategic']",,,0.30519038438796997,,0.2791329324245453,,,,0.3979644775390625,,,
9,9,PA19/07998,Outline application for the erection of a dwelling with all matters except access reserved,11/09/2019,"The proposed dwelling,  by reason of its location outside of and behind  the clearly defined urban form of the settlement,  the intrinsic, open rural character  and appearance  of the site and with limited physical  barriers (other than hedgerows  and hedgebanks repeated beyond  this site) to its north  and west, does not round off or infill the settlement. It visually  extends the built form into the countryside eroding the character  and appearance of this part of the Area of Great Landscape Value. In the absence of any special circumstances  to justify  it, the proposal represents an unsustainable  and sporadic form of development in the countryside and, in the absence  of any other material considerations which outweigh such harm, the proposal is contrary  to Policies 1, 3, 7, 9, 21, 23 and ENV1 of the Cornwall Local Plan Strategic Policies  2010 - 2030 (November  2016) and paragraphs 79 and 170 of the National  Planning Policy  Framework  2019.",Minor - Dwelling,,Cornwall Local Plan Strategic Policies,,,"['location', 'outside', 'clearly', 'define', 'urban', 'intrinsic', 'open', 'rural', 'character', 'appearance', 'limit', 'physical', 'barriers', 'hedgerows', 'hedgebanks', 'repeat', 'north', 'west', 'round', 'infill', 'visually', 'extend', 'countryside', 'erode', 'character', 'appearance', 'great', 'landscape', 'value', 'absence', 'special', 'unsustainable', 'sporadic', 'countryside', 'absence', 'material', 'ations', 'outweigh', 'harm', 'frame']","['location', 'outside', 'clearly', 'define', 'urban', 'intrinsic', 'open', 'rural', 'character', 'appearance', 'limit', 'physical', 'barriers', 'hedgerows', 'hedgebanks', 'repeat', 'north', 'west', 'round', 'infill', 'visually', 'extend', 'countryside', 'erode', 'character', 'appearance', 'great', 'landscape', 'value', 'absence', 'special', 'unsustainable', 'sporadic', 'countryside', 'absence', 'material', 'ations', 'outweigh', 'harm', 'frame']",,,,,,,,,,,,
